,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
1183,effect rat lead cadmium acet ,11.110084,0.7263663,-3.4556327,The effects of lead and zinc on the quality of semen of albino rats,"['the', 'effect', 'lead', 'zinc', 'qualiti', 'semen', 'albino', 'rat']",512930,2009,The effects of lead and zinc on the quality of semen of albino rats,the effect lead zinc qualiti semen albino rat,14
1204,effect rat lead cadmium acet ,-13.118369,0.020970436,-5.4159465,"Biochemical effects of lead, zinc, and cadmium from mining on fish in the Tri-States District of northeastern Oklahoma, USA","['biochem', 'effect', 'lead', 'zinc', 'cadmium', 'mine', 'fish', 'tri-stat', 'district', 'northeastern', 'oklahoma', 'usa']",519054,2005,"Biochemical effects of lead, zinc, and cadmium from mining on fish in the Tri-States District of northeastern Oklahoma, USA",biochem effect lead zinc cadmium mine fish tri-stat district northeastern oklahoma usa,14
1215,effect rat lead cadmium acet ,-5.8928213,2.7754319,-12.484907,"Effect of cadmium, chromium, lead and metal mixtures on survival and growth of juveniles of the scallop Argopecten ventricosus (Sowerby II, 1842)","['effect', 'cadmium', 'chromium', 'lead', 'metal', 'mixtur', 'surviv', 'growth', 'juvenil', 'scallop', 'argopecten', 'ventricosu', 'sowerbi', 'II']",523153,2007,"Effect of cadmium, chromium, lead and metal mixtures on survival and growth of juveniles of the scallop Argopecten ventricosus (Sowerby II, 1842)",effect cadmium chromium lead metal mixtur surviv growth juvenil scallop argopecten ventricosu sowerbi II,14
1216,effect rat lead cadmium acet ,-12.535106,-3.3592792,-5.510519,Effects of lead-contaminated sediment on Rana sphenocephala tadpoles,"['effect', 'lead-contamin', 'sediment', 'rana', 'sphenocephala', 'tadpol']",523805,2006,Effects of lead-contaminated sediment on Rana sphenocephala tadpoles,effect lead-contamin sediment rana sphenocephala tadpol,14
1233,effect rat lead cadmium acet ,1.558741,2.2000182,-0.081818886,"Brachidontes variabilis and Patella sp as quantitative biological indicators for cadmium, lead and mercury in the Lebanese coastal waters","['brachidont', 'variabili', 'patella', 'sp', 'quantit', 'biolog', 'indic', 'cadmium', 'lead', 'mercuri', 'lebanes', 'coastal', 'water']",504484,2006,"Brachidontes variabilis and Patella sp as quantitative biological indicators for cadmium, lead and mercury in the Lebanese coastal waters",brachidont variabili patella sp quantit biolog indic cadmium lead mercuri lebanes coastal water,14
1235,effect rat lead cadmium acet ,-16.676836,0.23820385,0.24069217,Effect of co-exposure to lead and cadmium on antioxidant status in rat ovarian granulose cells,"['effect', 'co-exposur', 'lead', 'cadmium', 'antioxid', 'statu', 'rat', 'ovarian', 'granulos', 'cell']",504528,2007,Effect of co-exposure to lead and cadmium on antioxidant status in rat ovarian granulose cells,effect co-exposur lead cadmium antioxid statu rat ovarian granulos cell,14
1236,effect rat lead cadmium acet ,-14.068959,0.5846953,-5.1163955,"Biochemical effects of gestational coexposure to lead and cadmium on reproductive performance, placenta, and ovary","['biochem', 'effect', 'gestat', 'coexposur', 'lead', 'cadmium', 'reproduct', 'perform', 'placenta', 'ovari']",504529,2008,"Biochemical effects of gestational coexposure to lead and cadmium on reproductive performance, placenta, and ovary",biochem effect gestat coexposur lead cadmium reproduct perform placenta ovari,14
1239,effect rat lead cadmium acet ,-12.783011,1.3683739,-2.2352898,Effects of lead intoxication on intercellular junctions and biochemical alterations of the renal proximal tubule cells,"['effect', 'lead', 'intox', 'intercellular', 'junction', 'biochem', 'alter', 'renal', 'proxim', 'tubul', 'cell']",504807,2009,Effects of lead intoxication on intercellular junctions and biochemical alterations of the renal proximal tubule cells,effect lead intox intercellular junction biochem alter renal proxim tubul cell,14
1245,effect rat lead cadmium acet ,-12.042236,2.831475,-8.279926,Effect of lead pollution on testate amoebae communities living in Sphagnum fallax: An experimental study,"['effect', 'lead', 'pollut', 'testat', 'amoeba', 'commun', 'live', 'sphagnum', 'fallax', 'An', 'experiment', 'studi']",505401,2008,Effect of lead pollution on testate amoebae communities living in Sphagnum fallax: An experimental study,effect lead pollut testat amoeba commun live sphagnum fallax An experiment studi,14
1278,effect rat lead cadmium acet ,-12.773786,1.8870199,-2.1006262,Lead effects on non-adrenergic non-cholinergic relaxations in the rat gastric fundus,"['lead', 'effect', 'non-adrenerg', 'non-cholinerg', 'relax', 'rat', 'gastric', 'fundu']",517929,2006,Lead effects on non-adrenergic non-cholinergic relaxations in the rat gastric fundus,lead effect non-adrenerg non-cholinerg relax rat gastric fundu,14
1294,effect rat lead cadmium acet ,-11.526838,-0.9119802,-0.4470784,The protective effect of ascorbic acid and thiamine supplementation against damage caused by lead in the testes of mice,"['the', 'protect', 'effect', 'ascorb', 'acid', 'thiamin', 'supplement', 'damag', 'caus', 'lead', 'test', 'mice']",520568,2009,The protective effect of ascorbic acid and thiamine supplementation against damage caused by lead in the testes of mice,the protect effect ascorb acid thiamin supplement damag caus lead test mice,14
1295,effect rat lead cadmium acet ,-11.21016,3.4944034,-6.9754443,Studying the effects of lead on DNA fragmentation and proapoptotic bax and antiapoptotic Bcl-2 protein expression in PC12 cells,"['studi', 'effect', 'lead', 'dna', 'fragment', 'proapoptot', 'bax', 'antiapoptot', 'bcl-2', 'protein', 'express', 'pc12', 'cell']",520668,2008,Studying the effects of lead on DNA fragmentation and proapoptotic bax and antiapoptotic Bcl-2 protein expression in PC12 cells,studi effect lead dna fragment proapoptot bax antiapoptot bcl-2 protein express pc12 cell,14
1310,effect rat lead cadmium acet ,-12.365314,-0.34786853,-4.989021,"Effects of cadmium, mercury and lead on the survival and instantaneous rate of increase of Paronychiurus kimi (Lee) (Collembola)","['effect', 'cadmium', 'mercuri', 'lead', 'surviv', 'instantan', 'rate', 'increas', 'paronychiuru', 'kimi', 'lee', 'collembola']",523400,2007,"Effects of cadmium, mercury and lead on the survival and instantaneous rate of increase of Paronychiurus kimi (Lee) (Collembola)",effect cadmium mercuri lead surviv instantan rate increas paronychiuru kimi lee collembola,14
1317,effect rat lead cadmium acet ,-6.0210013,3.3656251,7.7130275,D-serine relieves chronic lead exposure-impaired long-term potentiation in the CA1 region of the rat hippocampus in vitro,"['d-serin', 'reliev', 'chronic', 'lead', 'exposure-impair', 'long-term', 'potenti', 'ca1', 'region', 'rat', 'hippocampu', 'vitro']",525635,2007,D-serine relieves chronic lead exposure-impaired long-term potentiation in the CA1 region of the rat hippocampus in vitro,d-serin reliev chronic lead exposure-impair long-term potenti ca1 region rat hippocampu vitro,14
1328,effect rat lead cadmium acet ,-10.184726,0.41432372,-3.6489863,"Effect of pH, temperature, and lead concentration on the bioremoval of lead from water using Lemna minor","['effect', 'pH', 'temperatur', 'lead', 'concentr', 'bioremov', 'lead', 'water', 'use', 'lemna', 'minor']",530220,2009,"Effect of pH, temperature, and lead concentration on the bioremoval of lead from water using Lemna minor",effect pH temperatur lead concentr bioremov lead water use lemna minor,14
1329,effect rat lead cadmium acet ,-16.463417,0.13361609,0.37292942,Effect of prenatal lead exposure on superoxide dismutase activity in the brain and liver of rat fetuses,"['effect', 'prenat', 'lead', 'exposur', 'superoxid', 'dismutas', 'activ', 'brain', 'liver', 'rat', 'fetus']",530224,2007,Effect of prenatal lead exposure on superoxide dismutase activity in the brain and liver of rat fetuses,effect prenat lead exposur superoxid dismutas activ brain liver rat fetus,14
1356,effect rat lead cadmium acet ,-16.786776,1.575102,-1.4258225,Low doses of lead: Effects on reproduction and development in rats,"['low', 'dose', 'lead', 'effect', 'reproduct', 'develop', 'rat']",527384,2006,Low doses of lead: Effects on reproduction and development in rats,low dose lead effect reproduct develop rat,14
1374,effect rat lead cadmium acet ,-11.735278,-1.1623656,-5.0969305,Effects of histamine on lung permeability in normal and asthmatic subjects,"['effect', 'histamin', 'lung', 'permeabl', 'normal', 'asthmat', 'subject']",1222496,1985,Effects of histamine on lung permeability in normal and asthmatic subjects,effect histamin lung permeabl normal asthmat subject,14
1403,effect rat lead cadmium acet ,-10.558647,-2.389942,-4.193302,Understanding the effects of stimulant medications on cognition in individuals with attention-deficit hyperactivity disorder: a decade of progress,"['understand', 'effect', 'stimul', 'medic', 'cognit', 'individu', 'attention-deficit', 'hyperact', 'disord', 'decad', 'progress']",1290597,2011,Understanding the effects of stimulant medications on cognition in individuals with attention-deficit hyperactivity disorder: a decade of progress,understand effect stimul medic cognit individu attention-deficit hyperact disord decad progress,14
1419,effect rat lead cadmium acet ,-17.138798,-3.4620457,-1.9100345,The effects of lead exposure on placental NF-kappaB expression and the consequences for gestation,"['the', 'effect', 'lead', 'exposur', 'placent', 'nf-kappab', 'express', 'consequ', 'gestat']",337400,2009,The effects of lead exposure on placental NF-kappaB expression and the consequences for gestation,the effect lead exposur placent nf-kappab express consequ gestat,14
1436,effect rat lead cadmium acet ,3.5395186,3.7850146,7.276824,Cadmium and lead in bottom sediments and reed sweet grass (Glycerii aquatica) roots in selected rivers of upper Narew river basins,"['cadmium', 'lead', 'bottom', 'sediment', 'reed', 'sweet', 'grass', 'glycerii', 'aquatica', 'root', 'select', 'river', 'upper', 'narew', 'river', 'basin']",364396,2006,Cadmium and lead in bottom sediments and reed sweet grass (Glycerii aquatica) roots in selected rivers of upper Narew river basins,cadmium lead bottom sediment reed sweet grass glycerii aquatica root select river upper narew river basin,14
1438,effect rat lead cadmium acet ,-13.09364,3.912176,-7.479974,The effect of plasma lead on anembryonic pregnancy,"['the', 'effect', 'plasma', 'lead', 'anembryon', 'pregnanc']",366033,2008,The effect of plasma lead on anembryonic pregnancy,the effect plasma lead anembryon pregnanc,14
1450,effect rat lead cadmium acet ,-10.0596285,5.2995176,6.8816547,Lead affects apoptosis and related gene XIAP and Smac expression in the hippocampus of developing rats,"['lead', 'affect', 'apoptosi', 'relat', 'gene', 'xiap', 'smac', 'express', 'hippocampu', 'develop', 'rat']",383463,2010,Lead affects apoptosis and related gene XIAP and Smac expression in the hippocampus of developing rats,lead affect apoptosi relat gene xiap smac express hippocampu develop rat,14
1457,effect rat lead cadmium acet ,-12.89717,-0.05968173,-5.190162,Synergism in immunotoxicological effects due to repeated combined administration of arsenic and lead in mice,"['synerg', 'immunotoxicolog', 'effect', 'due', 'repeat', 'combin', 'administr', 'arsen', 'lead', 'mice']",325898,2006,Synergism in immunotoxicological effects due to repeated combined administration of arsenic and lead in mice,synerg immunotoxicolog effect due repeat combin administr arsen lead mice,14
1468,effect rat lead cadmium acet ,-12.041705,2.747795,-8.080411,The effect of lead on intracellular Ca<sup>2+</sup> in mouse lymphocytes,"['the', 'effect', 'lead', 'intracellular', 'Ca', 'sup', '/sup', 'mous', 'lymphocyt']",230033,2008,The effect of lead on intracellular Ca<sup>2+</sup> in mouse lymphocytes,the effect lead intracellular Ca sup /sup mous lymphocyt,14
1480,effect rat lead cadmium acet ,-10.909875,-1.679957,-4.926922,Combined effects of sediment and lead (PbCl2) on the demography of Brachionus patulus (Rotifera: Brachionidae),"['combin', 'effect', 'sediment', 'lead', 'pbcl2', 'demographi', 'brachionu', 'patulu', 'rotifera', 'brachionida']",348064,2007,Combined effects of sediment and lead (PbCl2) on the demography of Brachionus patulus (Rotifera: Brachionidae),combin effect sediment lead pbcl2 demographi brachionu patulu rotifera brachionida,14
1492,effect rat lead cadmium acet ,-17.46902,-2.1506133,-0.37314978,Effect of lead exposure on lymphocyte subsets and activation markers,"['effect', 'lead', 'exposur', 'lymphocyt', 'subset', 'activ', 'marker']",384174,2010,Effect of lead exposure on lymphocyte subsets and activation markers,effect lead exposur lymphocyt subset activ marker,14
1498,effect rat lead cadmium acet ,-15.420717,-0.34660262,0.31566963,Effect of chronic lead exposure on pro-apoptotic Bax and anti-apoptotic Bcl-2 protein expression in rat hippocampus in vivo,"['effect', 'chronic', 'lead', 'exposur', 'pro-apoptot', 'bax', 'anti-apoptot', 'bcl-2', 'protein', 'express', 'rat', 'hippocampu', 'vivo']",386123,2010,Effect of chronic lead exposure on pro-apoptotic Bax and anti-apoptotic Bcl-2 protein expression in rat hippocampus in vivo,effect chronic lead exposur pro-apoptot bax anti-apoptot bcl-2 protein express rat hippocampu vivo,14
1523,effect rat lead cadmium acet ,1.6840433,1.6894529,0.09020955,"Biomonitoring of lead, zinc, and cadmium in streams draining lead-mining and non-mining areas, Southeast Missouri, USA","['biomonitor', 'lead', 'zinc', 'cadmium', 'stream', 'drain', 'lead-min', 'non-min', 'area', 'southeast', 'missouri', 'usa']",453374,2007,"Biomonitoring of lead, zinc, and cadmium in streams draining lead-mining and non-mining areas, Southeast Missouri, USA",biomonitor lead zinc cadmium stream drain lead-min non-min area southeast missouri usa,14
1547,effect rat lead cadmium acet ,-5.9206643,4.5388594,6.6400447,Lead reduces tension development and the myosin ATPase activity of the rat right ventricular myocardium,"['lead', 'reduc', 'tension', 'develop', 'myosin', 'atpas', 'activ', 'rat', 'right', 'ventricular', 'myocardium']",531331,2008,Lead reduces tension development and the myosin ATPase activity of the rat right ventricular myocardium,lead reduc tension develop myosin atpas activ rat right ventricular myocardium,14
1554,effect rat lead cadmium acet ,-9.761071,0.018114548,-3.7082477,"Effectiveness of leaded petrol phase-out in Tianjin, China based on the aerosol lead concentration and isotope abundance ratio","['effect', 'lead', 'petrol', 'phase-out', 'tianjin', 'china', 'base', 'aerosol', 'lead', 'concentr', 'isotop', 'abund', 'ratio']",533553,2006,"Effectiveness of leaded petrol phase-out in Tianjin, China based on the aerosol lead concentration and isotope abundance ratio",effect lead petrol phase-out tianjin china base aerosol lead concentr isotop abund ratio,14
1563,effect rat lead cadmium acet ,0.5334063,0.8257384,0.6368902,"Roles of biomarkers in evaluating interactions among mixtures of lead, cadmium and arsenic","['role', 'biomark', 'evalu', 'interact', 'among', 'mixtur', 'lead', 'cadmium', 'arsen']",533221,2008,"Roles of biomarkers in evaluating interactions among mixtures of lead, cadmium and arsenic",role biomark evalu interact among mixtur lead cadmium arsen,14
1564,effect rat lead cadmium acet ,3.5562603,3.3695123,4.6388903,"Mineralogy and characterization of arsenic, iron, and lead in a mine waste-derived fertilizer","['mineralog', 'character', 'arsen', 'iron', 'lead', 'mine', 'waste-deriv', 'fertil']",535274,2006,"Mineralogy and characterization of arsenic, iron, and lead in a mine waste-derived fertilizer",mineralog character arsen iron lead mine waste-deriv fertil,14
1567,effect rat lead cadmium acet ,-14.049769,3.5986886,-1.5560794,Protective effect of N-acetylcysteine on experimental chronic lead nephrotoxicity in immature female rats,"['protect', 'effect', 'n-acetylcystein', 'experiment', 'chronic', 'lead', 'nephrotox', 'immatur', 'femal', 'rat']",387445,2010,Protective effect of N-acetylcysteine on experimental chronic lead nephrotoxicity in immature female rats,protect effect n-acetylcystein experiment chronic lead nephrotox immatur femal rat,14
1602,effect rat lead cadmium acet ,-12.745398,7.6843624,5.022367,Influence of lead acetate on glutathione and its related enzymes in different regions of rat brain,"['influenc', 'lead', 'acet', 'glutathion', 'relat', 'enzym', 'differ', 'region', 'rat', 'brain']",454613,2009,Influence of lead acetate on glutathione and its related enzymes in different regions of rat brain,influenc lead acet glutathion relat enzym differ region rat brain,14
1611,effect rat lead cadmium acet ,-11.574193,-1.7898613,-4.190294,Effects of lead on learning in herring gulls: An avian wildlife model for neurobehavioral deficits,"['effect', 'lead', 'learn', 'her', 'gull', 'An', 'avian', 'wildlif', 'model', 'neurobehavior', 'deficit']",456828,2005,Effects of lead on learning in herring gulls: An avian wildlife model for neurobehavioral deficits,effect lead learn her gull An avian wildlif model neurobehavior deficit,14
1628,effect rat lead cadmium acet ,-10.979302,-1.4110295,-4.7496505,Sublethal effects of lead on northern leopard frog (Rana pipiens) tadpoles,"['subleth', 'effect', 'lead', 'northern', 'leopard', 'frog', 'rana', 'pipien', 'tadpol']",459994,2006,Sublethal effects of lead on northern leopard frog (Rana pipiens) tadpoles,subleth effect lead northern leopard frog rana pipien tadpol,14
1638,effect rat lead cadmium acet ,-10.573672,-1.8836043,-4.9522667,Heavy-metal effects on lipid peroxidation and antioxidant defence enzymes in mussels Mytilus galloprovincialis,"['heavy-met', 'effect', 'lipid', 'peroxid', 'antioxid', 'defenc', 'enzym', 'mussel', 'mytilu', 'galloprovinciali']",532310,2007,Heavy-metal effects on lipid peroxidation and antioxidant defence enzymes in mussels Mytilus galloprovincialis,heavy-met effect lipid peroxid antioxid defenc enzym mussel mytilu galloprovinciali,14
1649,effect rat lead cadmium acet ,-15.249222,3.8684206,-2.2339604,Effects of lead and/or cadmium on the expression of metallothionein in the kidney of rats,"['effect', 'lead', 'and/or', 'cadmium', 'express', 'metallothionein', 'kidney', 'rat']",533353,2009,Effects of lead and/or cadmium on the expression of metallothionein in the kidney of rats,effect lead and/or cadmium express metallothionein kidney rat,14
1669,effect rat lead cadmium acet ,-5.5836315,2.7698658,-12.589388,Effects of metal lead on growth and mycorrhizae of an invasive plant species (Solidago canadensis L.),"['effect', 'metal', 'lead', 'growth', 'mycorrhiza', 'invas', 'plant', 'speci', 'solidago', 'canadensi', 'L']",537573,2008,Effects of metal lead on growth and mycorrhizae of an invasive plant species (Solidago canadensis L.),effect metal lead growth mycorrhiza invas plant speci solidago canadensi L,14
1670,effect rat lead cadmium acet ,-11.737324,-0.8060521,-3.9962423,Effects of lead on hepatic antioxidant status and transcription of superoxide dismutase gene in pigs,"['effect', 'lead', 'hepat', 'antioxid', 'statu', 'transcript', 'superoxid', 'dismutas', 'gene', 'pig']",538453,2008,Effects of lead on hepatic antioxidant status and transcription of superoxide dismutase gene in pigs,effect lead hepat antioxid statu transcript superoxid dismutas gene pig,14
1671,effect rat lead cadmium acet ,-12.184806,-1.214355,-6.838792,"Effects of lead and particulate montmorillonite on growth performance, hormone and organ weight in pigs","['effect', 'lead', 'particul', 'montmorillonit', 'growth', 'perform', 'hormon', 'organ', 'weight', 'pig']",538458,2005,"Effects of lead and particulate montmorillonite on growth performance, hormone and organ weight in pigs",effect lead particul montmorillonit growth perform hormon organ weight pig,14
1672,effect rat lead cadmium acet ,-14.470618,3.0913057,-2.682472,Dichotomous effects of lead acetate on the expression of metallothionein in the liver and kidney of mice,"['dichotom', 'effect', 'lead', 'acet', 'express', 'metallothionein', 'liver', 'kidney', 'mice']",538498,2009,Dichotomous effects of lead acetate on the expression of metallothionein in the liver and kidney of mice,dichotom effect lead acet express metallothionein liver kidney mice,14
1673,effect rat lead cadmium acet ,-11.174194,-1.3942564,-5.0247545,"Effect of lead on survival, locomotion and sperm morphology of Asian earthworm, Pheretima guillelmi","['effect', 'lead', 'surviv', 'locomot', 'sperm', 'morpholog', 'asian', 'earthworm', 'pheretima', 'guillelmi']",540196,2009,"Effect of lead on survival, locomotion and sperm morphology of Asian earthworm, Pheretima guillelmi",effect lead surviv locomot sperm morpholog asian earthworm pheretima guillelmi,14
1689,effect rat lead cadmium acet ,-11.930826,-1.2640274,-6.364868,Effects of Pb2+ on energy distribution and photochemical activity of spinach chloroplast,"['effect', 'pb2+', 'energi', 'distribut', 'photochem', 'activ', 'spinach', 'chloroplast']",536453,2008,Effects of Pb2+ on energy distribution and photochemical activity of spinach chloroplast,effect pb2+ energi distribut photochem activ spinach chloroplast,14
1708,effect rat lead cadmium acet ,-13.476175,3.036202,-2.5882542,Direct effects of lead (Pb2+) on the relaxation of in vitro cultured rat aorta to acetylcholine,"['direct', 'effect', 'lead', 'pb2+', 'relax', 'vitro', 'cultur', 'rat', 'aorta', 'acetylcholin']",539527,2007,Direct effects of lead (Pb2+) on the relaxation of in vitro cultured rat aorta to acetylcholine,direct effect lead pb2+ relax vitro cultur rat aorta acetylcholin,14
1709,effect rat lead cadmium acet ,-6.6312037,5.8110323,4.3966084,Influence of lead (Pb2+) on the reactions of in vitro cultured rat aorta to 5-hydroxytryptamine,"['influenc', 'lead', 'pb2+', 'reaction', 'vitro', 'cultur', 'rat', 'aorta', '5-hydroxytryptamin']",539529,2005,Influence of lead (Pb2+) on the reactions of in vitro cultured rat aorta to 5-hydroxytryptamine,influenc lead pb2+ reaction vitro cultur rat aorta 5-hydroxytryptamin,14
1716,effect rat lead cadmium acet ,-11.925307,-0.98286533,-4.9942284,Effects of inorganic lead on Western fence lizards (Sceloporus occidentalis),"['effect', 'inorgan', 'lead', 'western', 'fenc', 'lizard', 'sceloporu', 'occidentali']",543933,2009,Effects of inorganic lead on Western fence lizards (Sceloporus occidentalis),effect inorgan lead western fenc lizard sceloporu occidentali,14
1732,effect rat lead cadmium acet ,1.8910643,1.6455812,0.21181998,"Trophic relationships and transference of cadmium, copper, lead and zinc in a subtropical coastal lagoon food web from SE Gulf of California","['trophic', 'relationship', 'transfer', 'cadmium', 'copper', 'lead', 'zinc', 'subtrop', 'coastal', 'lagoon', 'food', 'web', 'SE', 'gulf', 'california']",566876,2009,"Trophic relationships and transference of cadmium, copper, lead and zinc in a subtropical coastal lagoon food web from SE Gulf of California",trophic relationship transfer cadmium copper lead zinc subtrop coastal lagoon food web SE gulf california,14
1733,effect rat lead cadmium acet ,-14.557407,3.0059867,-2.774488,Ultrastructural and DNA damaging effects of lead nitrate in the liver,"['ultrastructur', 'dna', 'damag', 'effect', 'lead', 'nitrat', 'liver']",576917,2011,Ultrastructural and DNA damaging effects of lead nitrate in the liver,ultrastructur dna damag effect lead nitrat liver,14
1769,effect rat lead cadmium acet ,-10.926923,-2.6711605,-3.4945838,Protective effect of EDTA preadministration on renal ischemia,"['protect', 'effect', 'edta', 'preadministr', 'renal', 'ischemia']",634258,2006,Protective effect of EDTA preadministration on renal ischemia,protect effect edta preadministr renal ischemia,14
1772,effect rat lead cadmium acet ,-6.6554575,4.6838765,7.029407,Highly polysialylated NCAM expression in the developing and adult rat spinal cord,"['highli', 'polysialyl', 'ncam', 'express', 'develop', 'adult', 'rat', 'spinal', 'cord']",677515,1993,Highly polysialylated NCAM expression in the developing and adult rat spinal cord,highli polysialyl ncam express develop adult rat spinal cord,14
1792,effect rat lead cadmium acet ,-14.05019,3.3966227,-2.004909,Effects of dietary calcium acetate on lead subacetate carcinogenicity in kidneys of male Sprague- Dawley rats,"['effect', 'dietari', 'calcium', 'acet', 'lead', 'subacet', 'carcinogen', 'kidney', 'male', 'sprague-', 'dawley', 'rat']",689868,1985,Effects of dietary calcium acetate on lead subacetate carcinogenicity in kidneys of male Sprague- Dawley rats,effect dietari calcium acet lead subacet carcinogen kidney male sprague- dawley rat,14
1795,effect rat lead cadmium acet ,-16.8817,0.9748604,-1.0813613,"Effect of combined lead, cadmium and arsenic exposure on the expression of cellular protective factors in rat kidneys at LOEL dose levels","['effect', 'combin', 'lead', 'cadmium', 'arsen', 'exposur', 'express', 'cellular', 'protect', 'factor', 'rat', 'kidney', 'loel', 'dose', 'level']",710908,2005,"Effect of combined lead, cadmium and arsenic exposure on the expression of cellular protective factors in rat kidneys at LOEL dose levels",effect combin lead cadmium arsen exposur express cellular protect factor rat kidney loel dose level,14
1823,effect rat lead cadmium acet ,-11.876523,-0.7443589,-4.5439653,Prophylactic effects of Wormwood on lipid peroxidation in an animal model of lead intoxication,"['prophylact', 'effect', 'wormwood', 'lipid', 'peroxid', 'anim', 'model', 'lead', 'intox']",610293,2008,Prophylactic effects of Wormwood on lipid peroxidation in an animal model of lead intoxication,prophylact effect wormwood lipid peroxid anim model lead intox,14
1867,effect rat lead cadmium acet ,9.5092,2.830326,11.319927,Enhanced bacterial clearance and sepsis resistance in caspase-12-deficient mice,"['enhanc', 'bacteri', 'clearanc', 'sepsi', 'resist', 'caspase-12-defici', 'mice']",699095,2006,Enhanced bacterial clearance and sepsis resistance in caspase-12-deficient mice,enhanc bacteri clearanc sepsi resist caspase-12-defici mice,14
1870,effect rat lead cadmium acet ,-0.49897125,5.0758085,7.3934097,"Brain lesions, obesity and others disturbances in mice treated with monosodium glutamate","['brain', 'lesion', 'obes', 'other', 'disturb', 'mice', 'treat', 'monosodium', 'glutam']",699279,1969,"Brain lesions, obesity and others disturbances in mice treated with monosodium glutamate",brain lesion obes other disturb mice treat monosodium glutam,14
1876,effect rat lead cadmium acet ,-10.429649,-1.9306384,-4.9327517,Effect of organometallic fuel additives on nanoparticle emissions from a gasoline passenger car,"['effect', 'organometal', 'fuel', 'addit', 'nanoparticl', 'emiss', 'gasolin', 'passeng', 'car']",699976,2010,Effect of organometallic fuel additives on nanoparticle emissions from a gasoline passenger car,effect organometal fuel addit nanoparticl emiss gasolin passeng car,14
1917,effect rat lead cadmium acet ,-10.739279,-9.56462,-5.524548,Exercise training and antioxidants: effects on rat heart tissue exposed to lead acetate,"['exercis', 'train', 'antioxid', 'effect', 'rat', 'heart', 'tissu', 'expos', 'lead', 'acet']",734823,2011,Exercise training and antioxidants: effects on rat heart tissue exposed to lead acetate,exercis train antioxid effect rat heart tissu expos lead acet,14
1935,effect rat lead cadmium acet ,3.6087558,3.2297046,6.0480204,"Bioaccumulation of copper, lead and zinc by the bivalves Macomona liliana and Austrovenus stutchburyi","['bioaccumul', 'copper', 'lead', 'zinc', 'bivalv', 'macomona', 'liliana', 'austrovenu', 'stutchburyi']",759379,2011,"Bioaccumulation of copper, lead and zinc by the bivalves Macomona liliana and Austrovenus stutchburyi",bioaccumul copper lead zinc bivalv macomona liliana austrovenu stutchburyi,14
1949,effect rat lead cadmium acet ,-15.507866,-2.3098278,-1.1839811,In vivo and in vitro exposures for the evaluation of the genotoxic effects of lead on the Neotropical freshwater fish Prochilodus lineatus,"['In', 'vivo', 'vitro', 'exposur', 'evalu', 'genotox', 'effect', 'lead', 'neotrop', 'freshwat', 'fish', 'prochilodu', 'lineatu']",759465,2011,In vivo and in vitro exposures for the evaluation of the genotoxic effects of lead on the Neotropical freshwater fish Prochilodus lineatus,In vivo vitro exposur evalu genotox effect lead neotrop freshwat fish prochilodu lineatu,14
1962,effect rat lead cadmium acet ,-10.345008,-0.57639086,-4.290798,"Effects of lead on Na(+), K(+)-ATPase and hemolymph ion concentrations in the freshwater mussel Elliptio complanata","['effect', 'lead', 'Na', 'K', '-atpas', 'hemolymph', 'ion', 'concentr', 'freshwat', 'mussel', 'elliptio', 'complanata']",759640,2012,"Effects of lead on Na(+), K(+)-ATPase and hemolymph ion concentrations in the freshwater mussel Elliptio complanata",effect lead Na K -atpas hemolymph ion concentr freshwat mussel elliptio complanata,14
1968,effect rat lead cadmium acet ,1.5298281,0.10264591,-0.42474696,"Cadmium, lead, and mercury in relation to reproductive hormones and anovulation in premenopausal women","['cadmium', 'lead', 'mercuri', 'relat', 'reproduct', 'hormon', 'anovul', 'premenopaus', 'women']",759694,2011,"Cadmium, lead, and mercury in relation to reproductive hormones and anovulation in premenopausal women",cadmium lead mercuri relat reproduct hormon anovul premenopaus women,14
1987,effect rat lead cadmium acet ,-12.100025,-0.9781356,-5.5132985,Effects of traffic-generated turbulence on near-field dispersion,"['effect', 'traffic-gener', 'turbul', 'near-field', 'dispers']",785540,1981,Effects of traffic-generated turbulence on near-field dispersion,effect traffic-gener turbul near-field dispers,14
2008,effect rat lead cadmium acet ,-15.588655,4.9964447,-1.3139408,Ultrastructural effects of lead acetate on brain of rats,"['ultrastructur', 'effect', 'lead', 'acet', 'brain', 'rat']",465685,2006,Ultrastructural effects of lead acetate on brain of rats,ultrastructur effect lead acet brain rat,14
2016,effect rat lead cadmium acet ,-10.800156,-9.181508,-5.7151527,The effect of adrenomedullin on rats exposed to lead,"['the', 'effect', 'adrenomedullin', 'rat', 'expos', 'lead']",466582,2008,The effect of adrenomedullin on rats exposed to lead,the effect adrenomedullin rat expos lead,14
2027,effect rat lead cadmium acet ,-12.344915,-3.3198125,-5.5172324,Effects of lead pollution against juvenile Achatina achatina fed on contaminated artificial diet,"['effect', 'lead', 'pollut', 'juvenil', 'achatina', 'achatina', 'fed', 'contamin', 'artifici', 'diet']",467896,2009,Effects of lead pollution against juvenile Achatina achatina fed on contaminated artificial diet,effect lead pollut juvenil achatina achatina fed contamin artifici diet,14
